Category,Brand,Product,Variant,SKU,Price,Old Price,Currency,Weight,Stock,Units,Visible,Featured,Meta title,Meta keywords,Meta description,Annotation,Description,Images,URL,Garancija,Sifra na artikl,Sifra,BrendID,KategorijaID,Kategorija
Компјутерски компоненти/Хард-дискови и SSD,Samsung,SAMSUNG 500GB SSD 980 M.2 Gen3.0x4 NVMe,,SE_51449,3139.0,0,1,,21,0,1,0,,,SAMSUNG 500GB SSD 980 M.2 Gen3.0x4 NVMe  P/N: MZ-V8V500BW,,<div class="tab-content" id="tab-description" itemprop="description">SAMSUNG 500GB SSD 980 M.2 Gen3.0x4 NVMe<br> P/N: MZ-V8V500BW </div>,51449_0-1000x1000.jpg,SAMSUNG-500GB-SSD-980-M.2-Gen3.0x4-NVMe, 720,SE_51449,SE_51449,55,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Toshiba,HDD 2TB Toshiba P300 7200rpm,,SE_47486,3219.0,0,1,,2,0,1,0,,,HDD 2TB Toshiba P300 7200rpm  64MB Cache SATA-3  6.0Gb/s  HDWD120UZSVA,,<div class="tab-content" id="tab-description" itemprop="description">HDD 2TB Toshiba P300 7200rpm<br> 64MB Cache SATA-3<br> 6.0Gb/s<br> HDWD120UZSVA </div>,47486_0-1000x1000.jpg,HDD-2TB-Toshiba-P300-7200rpm, 690,SE_47486,SE_47486,63,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 1000GB NV2 NVMe PCIe SSD,,SE_53927,3229.0,0,1,,124,0,1,0,,,Kingston 1000GB NV2 NVMe PCIe SSD  read/write speeds up to 3.500/2.100MB/s  M.2 connector  PCIe 4.0 x4 NVMe Interface  M.2 2280 Form Factor  SNV2S/1000G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 1000GB NV2 NVMe PCIe SSD<br> read/write speeds up to 3.500/2.100MB/s<br> M.2 connector<br> PCIe 4.0 x4 NVMe Interface<br> M.2 2280 Form Factor<br> SNV2S/1000G </div>,53927_0-1000x1000.jpg,Kingston-1000GB-NV2-NVMe-PCIe-SSD, 720,SE_53927,SE_53927,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Samsung,SAMSUNG 500GB SSD 970 EVO Plus M.2 PCI-E NVMe,,SE_47864,3229.0,0,1,,111,0,1,0,,,SAMSUNG 500GB SSD 970 EVO Plus M.2 PCI-E NVMe  P/N: MZ-V7S500BW,,<div class="tab-content" id="tab-description" itemprop="description">SAMSUNG 500GB SSD 970 EVO Plus M.2 PCI-E NVMe<br> P/N: MZ-V7S500BW </div>,47864_0-1000x1000.jpg,SAMSUNG-500GB-SSD-970-EVO-Plus-M.2-PCI-E-NVMe, 720,SE_47864,SE_47864,55,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,A-Data 512GB SSD,,SE_48351,3529.0,0,1,,2,0,1,0,,,A-Data 512GB SSD  XPG SX8200 Pro PCIe Gen3x4 M.2 2280 Solid State Drive  R/W speed up to 3500/3000MB/s  ASX8200PNP-512GT-C,,<div class="tab-content" id="tab-description" itemprop="description">A-Data 512GB SSD<br> XPG SX8200 Pro PCIe Gen3x4 M.2 2280 Solid State Drive<br> R/W speed up to 3500/3000MB/s<br> ASX8200PNP-512GT-C </div>,48351_0-1000x1000.jpg,A-Data-512GB-SSD,1740,SE_48351,SE_48351,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,A-Data 512GB SSD,,SE_50402,3529.0,0,1,,10,0,1,0,,,A-Data 512GB SSD  SU800 SATA 6Gb/s M.2 2280 Solid State Drive  R/W speed up to 560/520MB/s  ASU800NS38-512GT-C,,<div class="tab-content" id="tab-description" itemprop="description">A-Data 512GB SSD<br> SU800 SATA 6Gb/s M.2 2280 Solid State Drive<br> R/W speed up to 560/520MB/s<br> ASU800NS38-512GT-C </div>,50402_0-1000x1000.jpg,A-Data-512GB-SSD,1050,SE_50402,SE_50402,70,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Toshiba,HDD 2TB Toshiba P300 5400rpm,,SE_54928,3529.0,0,1,,114,0,1,0,,,HDD 2TB Toshiba P300 5400rpm  128MB Cache SATA-3  6.0Gb/s  HDWD220UZSVA,,<div class="tab-content" id="tab-description" itemprop="description">HDD 2TB Toshiba P300 5400rpm<br> 128MB Cache SATA-3<br> 6.0Gb/s<br> HDWD220UZSVA </div>,54928_0-1000x1000.jpg,HDD-2TB-Toshiba-P300-5400rpm, 690,SE_54928,SE_54928,63,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,Kingston 512G KC3000 PCIe 4.0 NVMe M.2 SSD,,SE_52298,3819.0,0,1,,102,0,1,0,,,Kingston 512G KC3000 PCIe 4.0 NVMe M.2 SSD  Fastest Flash You Can Get  Sequential Read: 7000MBps  Sequential Write: 3900MBps  SKC3000S/512G,,<div class="tab-content" id="tab-description" itemprop="description">Kingston 512G KC3000 PCIe 4.0 NVMe M.2 SSD<br> Fastest Flash You Can Get<br> Sequential Read: 7000MBps<br> Sequential Write: 3900MBps<br> SKC3000S/512G </div>,52298_0-1000x1000.jpg,Kingston-512G-KC3000-PCIe-4.0-NVMe-M.2-SSD, 720,SE_52298,SE_52298,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,Kingston,240GB HyperX SAVAGE SSD SATA 3 2.5 (7mm height),,SE_43744,3919.0,0,1,,3,0,1,0,,,240GB HyperX SAVAGE SSD SATA 3 2.5 (7mm height)  SHSS37A/240G,,<div class="tab-content" id="tab-description" itemprop="description">240GB HyperX SAVAGE SSD SATA 3 2.5 (7mm height)<br> SHSS37A/240G </div>,43744_0-1000x1000.jpg,240GB-HyperX-SAVAGE-SSD-SATA-3-2.5-(7mm-height), 720,SE_43744,SE_43744,34,kategorijaID,HardDisk
Компјутерски компоненти/Хард-дискови и SSD,XXX,ADATA 1TB SSD,,SE_48352,3919.0,0,1,,2,0,1,0,,,ADATA 1TB SSD  XPG SX8200 Pro PCIe Gen3x4 M.2 2280 Solid State Drive  R/W speed up to 3500/3000MB/s  ASX8200PNP-1TT-C,,<div class="tab-content" id="tab-description" itemprop="description">ADATA 1TB SSD<br> XPG SX8200 Pro PCIe Gen3x4 M.2 2280 Solid State Drive<br> R/W speed up to 3500/3000MB/s<br> ASX8200PNP-1TT-C </div>,48352_0-1000x1000.jpg,ADATA-1TB-SSD,1740,SE_48352,SE_48352,70,kategorijaID,HardDisk
